店铺id,城市,销售渠道,性别,年龄段,消费时间,产品名称,客户数量,销售金额,订单数量,产品数量,单件成本
70,深圳,线下,Female,25-29,Weekday,短裤,1,33.0,1,1,19
323,武汉,线下,Male,40-44,Weekday,T恤,1,59.0,1,1,49
611,深圳,线下,Female,30-34,Weekday,T恤,1,79.0,1,1,49
19,南京,线下,Male,<20,Weekend,毛衣,1,195.0,1,1,99
360,成都,线下,Female,25-29,Weekend,T恤,2,178.0,2,2,49
280,深圳,线下,Male,20-24,Weekday,T恤,1,59.0,1,1,49
335,上海,线下,Female,40-44,Weekday,袜子,1,40.0,1,2,9
429,西安,线下,Female,35-39,Weekend,T恤,2,118.0,2,2,49
658,深圳,线下,Male,40-44,Weekend,T恤,1,79.0,1,1,49
312,杭州,线下,Female,35-39,Weekend,T恤,1,59.0,1,1,49
245,杭州,线下,Male,25-29,Weekend,T恤,1,79.0,1,1,49
91,武汉,线上,Female,35-39,Weekday,当季新品,1,56.0,1,1,59
759,重庆,线下,Female,25-29,Weekday,T恤,2,158.0,2,2,49
68,重庆,线上,Female,20-24,Weekend,T恤,1,99.0,1,1,49
430,成都,线下,Female,40-44,Weekday,裙子,1,59.0,1,1,59
420,广州,线上,Male,<20,Weekend,T恤,1,69.5,1,1,49
245,杭州,线下,Female,20-24,Weekend,T恤,1,79.0,1,1,49
519,杭州,线下,Male,35-39,Weekend,牛仔裤,1,149.0,1,1,69
20,深圳,线下,Female,<20,Weekday,运动,2,117.0,2,3,49
360,成都,线下,Female,25-29,Weekday,T恤,2,97.0,2,2,49
520,杭州,线下,Female,25-29,Weekday,T恤,1,129.0,1,1,49
52,武汉,线上,Male,40-44,Weekend,短裤,1,40.0,1,1,19
135,上海,线下,Female,45-49,Weekday,配件,1,58.0,1,1,29
758,杭州,线下,Male,35-39,Weekend,裙子,1,149.0,1,1,59
496,上海,线下,Female,25-29,Weekday,配件,1,149.0,1,1,29
19,南京,线下,Male,35-39,Weekend,袜子,1,59.0,1,3,9
46,武汉,线下,Female,20-24,Weekday,短裤,1,33.0,1,1,19
375,广州,线上,Female,25-29,Weekday,配件,3,447.0,3,3,29
335,上海,线下,Male,20-24,Weekend,袜子,1,26.0,1,1,9
323,武汉,线下,Female,25-29,Weekend,牛仔裤,1,59.0,1,1,69
575,杭州,线下,Female,>=60,Weekend,T恤,1,79.0,1,1,49
375,广州,线上,Male,25-29,Weekday,短裤,1,33.0,1,1,19
323,武汉,线下,Male,35-39,Weekend,当季新品,1,57.0,1,1,59
70,深圳,线下,Female,30-34,Weekend,T恤,2,198.0,2,2,49
480,重庆,线下,Female,35-39,Weekend,T恤,2,118.0,2,2,49
146,杭州,线下,Female,25-29,Weekday,T恤,2,196.0,2,2,49
611,深圳,线下,Female,30-34,Weekend,T恤,2,198.0,2,2,49
256,武汉,线下,Male,>=60,Weekday,袜子,1,39.0,1,1,9
369,广州,线下,Male,25-29,Weekday,T恤,1,99.0,1,1,49
21,北京,线下,Male,55-59,Weekend,T恤,1,79.0,1,1,49
496,上海,线下,Female,<20,Weekday,T恤,1,79.0,1,1,49
449,武汉,线下,Female,40-44,Weekend,T恤,1,99.0,1,1,49
399,广州,线下,Male,<20,Weekend,T恤,1,78.0,1,2,49
28,武汉,线上,Male,25-29,Weekday,袜子,2,45.0,2,2,9
207,上海,线上,Female,25-29,Weekend,T恤,1,79.0,1,1,49
142,上海,线下,Female,30-34,Weekday,T恤,2,257.0,2,3,49
70,深圳,线下,Female,50-54,Weekday,当季新品,1,234.0,1,3,59
146,杭州,线下,Female,25-29,Weekday,毛衣,1,249.0,1,1,99
146,杭州,线下,Female,35-39,Weekend,袜子,1,79.0,1,1,9
248,杭州,线下,Female,25-29,Weekday,T恤,1,59.0,1,1,49
168,武汉,线下,Male,30-34,Weekday,T恤,1,99.0,1,1,49
207,上海,线上,Male,25-29,Weekend,短裤,1,40.0,1,1,19
360,成都,线下,Male,35-39,Weekend,T恤,1,79.0,1,1,49
148,深圳,线下,Female,35-39,Weekend,袜子,1,19.0,1,1,9
32,武汉,线上,Female,25-29,Weekday,毛衣,1,199.0,1,1,99
323,武汉,线下,Male,20-24,Weekday,T恤,1,99.0,1,1,49
168,武汉,线下,Male,45-49,Weekday,当季新品,1,79.0,1,1,59
437,重庆,线下,Female,25-29,Weekday,裙子,1,79.0,1,1,59
658,深圳,线下,Female,55-59,Weekend,T恤,1,193.0,1,2,49
207,上海,线上,Female,30-34,Weekday,袜子,1,19.0,1,1,9
479,深圳,线下,Male,<20,Weekday,T恤,1,99.0,1,1,49
323,武汉,线下,Female,30-34,Weekday,当季新品,1,118.0,1,2,59
28,武汉,线上,Female,25-29,Weekday,毛衣,1,199.0,1,1,99
520,杭州,线下,Female,<20,Weekday,当季新品,1,149.0,1,1,59
648,西安,线下,Female,40-44,Weekday,配件,2,177.0,2,3,29
91,武汉,线上,Male,25-29,Weekend,T恤,1,99.0,1,1,49
231,广州,线下,Male,30-34,Weekday,T恤,1,59.0,1,1,49
375,广州,线上,Male,25-29,Weekday,T恤,1,59.0,1,1,49
605,成都,线下,Male,20-24,Weekend,短裤,1,39.0,1,1,19
315,武汉,线下,Female,20-24,Weekday,牛仔裤,2,98.0,2,2,69
335,上海,线下,Female,<20,Weekend,T恤,2,297.0,2,3,49
738,深圳,线下,Female,40-44,Weekday,当季新品,2,131.0,2,2,59
575,杭州,线下,Female,30-34,Weekend,配件,6,414.0,6,6,29
648,西安,线下,Female,35-39,Weekend,毛衣,1,247.0,1,1,99
575,杭州,线下,Male,35-39,Weekend,T恤,1,59.0,1,1,49
245,杭州,线下,Female,30-34,Weekday,运动,5,895.0,5,5,49
137,西安,线上,Male,>=60,Weekday,短裤,1,37.0,1,1,19
248,杭州,线下,Male,20-24,Weekday,运动,13,705.0,13,19,49
168,武汉,线下,Female,30-34,Weekday,牛仔裤,1,59.0,1,1,69
208,重庆,线下,Male,25-29,Weekend,T恤,1,79.0,1,1,49
21,北京,线下,Male,30-34,Weekend,T恤,1,59.0,1,1,49
669,重庆,线下,Female,55-59,Weekend,配件,1,79.0,1,1,29
256,武汉,线下,Female,30-34,Weekend,牛仔裤,1,39.0,1,1,69
479,深圳,线下,Male,20-24,Weekday,T恤,2,158.0,2,2,49
479,深圳,线下,Female,30-34,Weekend,运动,2,291.0,3,3,49
248,杭州,线下,Female,35-39,Weekend,T恤,1,59.0,1,1,49
142,上海,线下,Female,50-54,Weekend,T恤,2,158.0,2,2,49
20,深圳,线下,Female,20-24,Weekend,T恤,1,59.0,1,1,49
796,深圳,线下,Female,35-39,Weekday,T恤,2,237.0,2,3,49
605,成都,线下,Female,40-44,Weekend,牛仔裤,2,278.0,2,2,69
669,重庆,线下,Male,20-24,Weekday,短裤,1,40.0,1,1,19
442,西安,线下,Female,40-44,Weekend,T恤,2,118.0,2,2,49
758,杭州,线下,Male,35-39,Weekday,T恤,1,79.0,1,1,49
28,武汉,线上,Female,45-49,Weekend,T恤,1,96.0,1,1,49
312,杭州,线下,Male,30-34,Weekend,当季新品,1,49.0,1,1,59
91,武汉,线上,Female,45-49,Weekday,短裤,1,40.0,1,1,19
669,重庆,线下,Female,25-29,Weekday,配件,2,398.0,2,2,29
256,武汉,线下,Female,30-34,Weekday,袜子,1,79.0,1,1,9
737,深圳,线下,Female,<20,Weekend,T恤,1,79.0,1,1,49
420,广州,线上,Female,>=60,Weekend,T恤,1,99.0,1,1,49
335,上海,线下,Male,25-29,Weekday,T恤,1,99.0,1,1,49
336,西安,线下,Male,40-44,Weekend,牛仔裤,1,59.0,1,1,69
245,杭州,线下,Female,30-34,Weekday,T恤,2,198.0,2,2,49
399,广州,线下,Female,45-49,Weekday,运动,2,198.0,2,2,49
335,上海,线下,Male,>=60,Weekend,运动,2,158.0,2,2,49
796,深圳,线下,Male,>=60,Weekend,裙子,1,79.0,1,1,59
19,南京,线下,Female,<20,Weekend,T恤,1,99.0,1,1,49
20,深圳,线下,Female,25-29,Weekday,袜子,1,26.0,1,1,9
168,武汉,线下,Female,45-49,Weekend,配件,1,149.0,1,1,29
137,西安,线上,Female,35-39,Weekend,裙子,2,176.0,2,2,59
796,深圳,线下,Female,30-34,Weekday,当季新品,2,112.0,2,2,59
312,杭州,线下,Male,30-34,Weekday,短裤,2,80.0,2,2,19
52,武汉,线上,Female,20-24,Weekend,配件,5,375.0,5,5,29
369,广州,线下,Male,35-39,Weekday,T恤,1,99.0,1,1,49
182,广州,线上,Female,30-34,Weekend,配件,1,59.0,1,1,29
802,西安,线下,Male,<20,Weekend,T恤,1,198.0,1,2,49
325,上海,线下,Female,30-34,Weekend,当季新品,2,155.0,2,2,59
32,武汉,线上,Male,45-49,Weekday,T恤,1,99.0,1,1,49
658,深圳,线下,Female,35-39,Weekend,袜子,1,39.0,1,1,9
399,广州,线下,Female,25-29,Weekday,配件,3,447.0,3,3,29
21,北京,线下,Female,25-29,Weekday,T恤,1,99.0,1,1,49
575,杭州,线下,Male,35-39,Weekend,运动,1,66.0,1,2,49
519,杭州,线下,Male,50-54,Weekend,短裤,1,39.0,1,1,19
369,广州,线下,Male,25-29,Weekend,T恤,1,99.0,1,1,49
207,上海,线上,Female,35-39,Weekday,T恤,2,78.0,2,2,49
399,广州,线下,Male,30-34,Weekday,牛仔裤,1,59.0,1,1,69
759,重庆,线下,Female,20-24,Weekday,T恤,3,213.28,3,3,49
207,上海,线上,Female,30-34,Weekend,牛仔裤,1,79.0,1,1,69
575,杭州,线下,Female,30-34,Weekday,短裤,1,33.0,1,1,19
52,武汉,线上,Female,20-24,Weekday,T恤,2,158.0,2,2,49
98,成都,线下,Male,>=60,Weekend,当季新品,1,54.0,1,1,59
335,上海,线下,Female,30-34,Weekend,配件,3,297.0,3,3,29
611,深圳,线下,Female,25-29,Weekday,T恤,1,79.0,1,1,49
649,杭州,线下,Male,30-34,Weekend,配件,3,297.0,3,3,29
375,广州,线上,Female,40-44,Weekday,袜子,1,49.0,1,1,9
280,深圳,线下,Female,<20,Weekend,T恤,2,158.0,2,2,49
519,杭州,线下,Male,>=60,Weekday,运动,1,39.0,1,1,49
649,杭州,线下,Male,>=60,Weekend,T恤,1,59.0,1,1,49
335,上海,线下,Male,25-29,Weekday,当季新品,1,199.0,1,1,59
738,深圳,线下,Male,30-34,Weekday,运动,1,39.0,1,1,49
208,重庆,线下,Female,30-34,Weekday,T恤,3,197.0,3,3,49
648,西安,线下,Female,25-29,Weekday,T恤,1,99.0,1,1,49
336,西安,线下,Female,25-29,Weekday,配件,1,199.0,1,1,29
758,杭州,线下,Male,25-29,Weekday,T恤,1,158.0,1,2,49
430,成都,线下,Female,35-39,Weekend,T恤,4,314.0,4,4,49
429,西安,线下,Male,20-24,Weekday,T恤,1,99.0,1,1,49
20,深圳,线下,Male,25-29,Weekday,牛仔裤,1,149.0,1,1,69
182,广州,线上,Female,20-24,Weekday,T恤,4,356.0,4,4,49
520,杭州,线下,Female,50-54,Weekday,当季新品,1,156.0,1,2,59
616,成都,线下,Female,40-44,Weekday,牛仔裤,2,157.0,2,3,69
758,杭州,线下,Female,35-39,Weekend,T恤,1,79.0,1,1,49
831,杭州,线下,Female,20-24,Weekday,运动,1,39.0,1,1,49
449,武汉,线下,Male,30-34,Weekday,袜子,1,59.0,1,1,9
28,武汉,线上,Female,30-34,Weekday,T恤,1,59.0,1,1,49
32,武汉,线上,Female,30-34,Weekday,T恤,1,198.0,1,2,49
255,杭州,线下,Female,25-29,Weekday,T恤,5,395.0,5,5,49
336,西安,线下,Female,55-59,Weekday,裙子,1,199.0,1,1,59
520,杭州,线下,Male,30-34,Weekend,短裤,1,99.0,1,3,19
737,深圳,线下,Female,30-34,Weekend,袜子,1,19.0,1,1,9
168,武汉,线下,Male,30-34,Weekend,T恤,1,99.0,1,1,49
437,重庆,线下,Male,55-59,Weekday,当季新品,2,382.0,4,7,59
70,深圳,线下,Male,<20,Weekday,运动,1,27.5,1,1,49
146,杭州,线下,Male,35-39,Weekend,T恤,1,39.0,1,1,49
437,重庆,线下,Male,25-29,Weekday,T恤,3,291.0,3,3,49
479,深圳,线下,Male,20-24,Weekday,T恤,1,78.0,1,2,49
70,深圳,线下,Female,25-29,Weekday,T恤,3,297.0,3,3,49
399,广州,线下,Male,25-29,Weekday,T恤,1,99.0,1,1,49
758,杭州,线下,Female,30-34,Weekday,T恤,1,79.0,1,1,49
255,杭州,线下,Male,35-39,Weekend,T恤,1,79.0,1,1,49
649,杭州,线下,Unkown,Unkown,Weekday,配件,1,49.0,1,1,29
28,武汉,线上,Male,35-39,Weekend,T恤,1,99.0,1,1,49
52,武汉,线上,Male,35-39,Weekend,运动,4,214.0,4,6,49
616,成都,线下,Male,25-29,Weekday,T恤,2,198.0,2,2,49
442,西安,线下,Female,35-39,Weekend,牛仔裤,2,398.0,2,2,69
315,武汉,线下,Female,25-29,Weekday,当季新品,1,139.0,1,1,59
19,南京,线下,Female,45-49,Weekday,当季新品,1,75.89,1,1,59
737,深圳,线下,Male,30-34,Weekend,配件,2,155.0,2,2,29
369,广州,线下,Male,35-39,Weekday,T恤,5,354.0,5,6,49
796,深圳,线下,Female,30-34,Weekend,袜子,2,158.0,2,2,9
669,重庆,线下,Male,40-44,Weekday,T恤,1,99.0,1,1,49
437,重庆,线下,Female,45-49,Weekend,T恤,1,79.0,1,1,49
737,深圳,线下,Male,>=60,Weekday,运动,1,66.0,1,2,49
605,成都,线下,Female,35-39,Weekend,运动,1,66.0,1,2,49
182,广州,线上,Female,30-34,Weekend,牛仔裤,1,39.0,1,1,69
802,西安,线下,Male,30-34,Weekend,T恤,1,99.0,1,1,49
182,广州,线上,Male,45-49,Weekday,T恤,1,19.0,1,1,49
21,北京,线下,Female,40-44,Weekday,牛仔裤,2,398.0,2,2,69
312,杭州,线下,Male,20-24,Weekend,配件,1,69.4,1,1,29
520,杭州,线下,Female,20-24,Weekend,T恤,1,99.0,1,1,49
91,武汉,线上,Male,25-29,Weekend,T恤,3,297.0,3,3,49
520,杭州,线下,Female,25-29,Weekday,袜子,2,55.0,2,3,9
98,成都,线下,Female,40-44,Weekend,袜子,1,20.0,1,1,9
437,重庆,线下,Male,>=60,Weekday,T恤,1,98.0,1,1,49
496,上海,线下,Female,20-24,Weekend,T恤,3,495.0,3,5,49
759,重庆,线下,Female,40-44,Weekday,T恤,2,158.0,2,2,49
369,广州,线下,Female,35-39,Weekday,牛仔裤,2,177.0,2,3,69
658,深圳,线下,Female,>=60,Weekday,牛仔裤,1,199.0,1,1,69
70,深圳,线下,Female,50-54,Weekday,运动,1,149.0,1,1,49
91,武汉,线上,Female,25-29,Weekend,袜子,1,79.0,1,3,9
738,深圳,线下,Female,40-44,Weekday,T恤,1,98.0,1,1,49
70,深圳,线下,Female,45-49,Weekend,配件,2,298.0,2,2,29
616,成都,线下,Male,25-29,Weekend,T恤,3,277.0,3,3,49
135,上海,线下,Male,>=60,Weekday,T恤,1,59.0,1,1,49
336,西安,线下,Female,25-29,Weekday,牛仔裤,2,78.0,2,2,69
245,杭州,线下,Female,50-54,Weekday,当季新品,1,75.0,1,1,59
182,广州,线上,Female,35-39,Weekday,T恤,7,841.0,7,7,49
616,成都,线下,Male,30-34,Weekday,袜子,1,27.0,1,1,9
135,上海,线下,Female,25-29,Weekday,T恤,1,99.0,1,1,49
20,深圳,线下,Female,30-34,Weekday,T恤,1,59.0,1,1,49
182,广州,线上,Female,35-39,Weekday,当季新品,1,59.0,1,1,59
256,武汉,线下,Male,25-29,Weekend,T恤,1,99.0,1,1,49
20,深圳,线下,Female,25-29,Weekday,T恤,1,99.0,1,1,49
91,武汉,线上,Male,>=60,Weekend,T恤,1,99.0,1,1,49
19,南京,线下,Male,45-49,Weekday,袜子,1,18.0,1,1,9
649,杭州,线下,Male,25-29,Weekend,短裤,1,39.0,1,1,19
19,南京,线下,Male,>=60,Weekday,T恤,2,178.0,2,2,49
325,上海,线下,Female,>=60,Weekday,T恤,1,99.0,1,1,49
658,深圳,线下,Male,30-34,Weekday,当季新品,1,213.0,1,3,59
420,广州,线上,Female,20-24,Weekday,当季新品,1,58.0,1,1,59
50,武汉,线上,Female,25-29,Weekday,袜子,1,79.0,1,1,9
737,深圳,线下,Male,35-39,Weekend,当季新品,1,191.0,1,1,59
479,深圳,线下,Female,25-29,Weekday,T恤,1,99.0,1,1,49
437,重庆,线下,Female,35-39,Weekend,袜子,1,79.0,1,1,9
91,武汉,线上,Female,35-39,Weekend,运动,1,19.0,1,1,49
245,杭州,线下,Male,20-24,Weekday,当季新品,2,398.0,2,2,59
519,杭州,线下,Female,30-34,Weekday,T恤,1,154.0,1,2,49
369,广州,线下,Male,35-39,Weekend,当季新品,5,450.0,6,8,59
46,武汉,线下,Male,30-34,Weekend,牛仔裤,1,195.0,1,1,69
669,重庆,线下,Male,25-29,Weekend,T恤,1,199.0,1,1,49
442,西安,线下,Male,35-39,Weekend,T恤,2,158.0,2,2,49
479,深圳,线下,Male,20-24,Weekend,T恤,1,99.0,1,1,49
148,深圳,线下,Male,55-59,Weekday,T恤,1,99.0,1,1,49
135,上海,线下,Female,35-39,Weekday,配件,2,136.39,2,2,29
135,上海,线下,Female,35-39,Weekday,当季新品,1,149.0,1,1,59
52,武汉,线上,Female,25-29,Weekday,当季新品,1,55.22,1,1,59
142,上海,线下,Male,30-34,Weekday,配件,1,198.0,1,2,29
649,杭州,线下,Female,30-34,Weekday,T恤,1,99.0,1,1,49
738,深圳,线下,Female,25-29,Weekday,T恤,2,198.0,2,2,49
315,武汉,线下,Male,25-29,Weekend,T恤,2,198.0,2,2,49
802,西安,线下,Female,40-44,Weekend,毛衣,1,149.0,1,1,99
496,上海,线下,Male,35-39,Weekend,袜子,1,40.0,1,2,9
399,广州,线下,Male,45-49,Weekday,当季新品,1,79.0,1,1,59
207,上海,线上,Female,35-39,Weekend,T恤,1,79.0,1,1,49
369,广州,线下,Female,30-34,Weekend,T恤,1,792.0,2,8,49
429,西安,线下,Male,30-34,Weekend,短裤,1,39.0,1,1,19
52,武汉,线上,Male,30-34,Weekend,短裤,2,79.0,2,2,19
605,成都,线下,Male,25-29,Weekday,短裤,1,40.0,1,1,19
245,杭州,线下,Female,>=60,Weekday,T恤,1,59.0,1,1,49
280,深圳,线下,Male,20-24,Weekday,T恤,1,198.0,2,2,49
70,深圳,线下,Female,>=60,Weekend,配件,2,158.0,2,2,29
142,上海,线下,Female,35-39,Weekday,短裤,1,39.0,1,1,19
98,成都,线下,Female,35-39,Weekend,T恤,1,99.0,1,1,49
430,成都,线下,Female,>=60,Weekday,T恤,1,79.0,1,1,49
802,西安,线下,Female,30-34,Weekday,T恤,1,99.0,1,1,49
335,上海,线下,Male,>=60,Weekday,牛仔裤,2,348.0,2,2,69
802,西安,线下,Female,35-39,Weekend,配件,1,79.0,1,1,29
146,杭州,线下,Female,45-49,Weekend,T恤,2,198.0,2,2,49
32,武汉,线上,Female,25-29,Weekday,T恤,4,396.0,4,4,49
137,西安,线上,Female,25-29,Weekend,短裤,1,118.0,1,3,19
91,武汉,线上,Female,25-29,Weekend,T恤,2,158.0,2,2,49
21,北京,线下,Female,35-39,Weekend,T恤,2,138.0,2,2,49
649,杭州,线下,Male,20-24,Weekend,T恤,1,79.0,1,1,49
98,成都,线下,Male,50-54,Weekend,袜子,1,39.0,1,2,9
758,杭州,线下,Female,25-29,Weekend,T恤,1,79.0,1,1,49
50,武汉,线上,Female,55-59,Weekday,当季新品,13,2425.0,15,15,59
520,杭州,线下,Female,45-49,Weekday,T恤,1,59.0,1,1,49
229,深圳,线下,Female,25-29,Weekend,袜子,1,79.0,1,1,9
758,杭州,线下,Female,35-39,Weekday,T恤,1,99.0,1,1,49
360,成都,线下,Female,25-29,Weekday,T恤,1,79.0,1,1,49
255,杭州,线下,Female,20-24,Weekend,配件,2,447.0,2,3,29
245,杭州,线下,Male,30-34,Weekday,短裤,2,73.0,2,2,19
98,成都,线下,Male,30-34,Weekday,T恤,1,99.0,1,1,49
738,深圳,线下,Female,35-39,Weekday,当季新品,1,98.0,1,2,59
759,重庆,线下,Male,20-24,Weekend,运动,1,78.0,1,2,49
32,武汉,线上,Female,25-29,Weekday,T恤,4,371.0,5,5,49
520,杭州,线下,Female,45-49,Weekday,当季新品,1,194.0,1,1,59
255,杭州,线下,Female,25-29,Weekend,T恤,5,495.0,5,5,49
802,西安,线下,Female,20-24,Weekend,短裤,1,33.0,1,1,19
312,杭州,线下,Male,30-34,Weekday,当季新品,1,123.0,1,1,59
245,杭州,线下,Male,20-24,Weekday,T恤,1,99.0,1,1,49
496,上海,线下,Female,30-34,Weekend,短裤,1,39.0,1,1,19
255,杭州,线下,Female,30-34,Weekday,配件,1,199.0,1,1,29
796,深圳,线下,Male,45-49,Weekend,运动,1,39.0,1,1,49
182,广州,线上,Female,35-39,Weekend,T恤,1,99.0,1,1,49
46,武汉,线下,Female,30-34,Weekend,当季新品,2,158.0,2,2,59
420,广州,线上,Female,25-29,Weekday,T恤,1,96.73,1,1,49
449,武汉,线下,Female,25-29,Weekend,袜子,1,79.0,1,1,9
70,深圳,线下,Female,45-49,Weekday,配件,1,79.0,1,1,29
280,深圳,线下,Male,25-29,Weekday,T恤,1,79.0,1,1,49
21,北京,线下,Female,30-34,Weekday,袜子,5,375.0,5,5,9
658,深圳,线下,Male,25-29,Weekday,当季新品,1,149.0,1,1,59
280,深圳,线下,Male,<20,Weekday,T恤,1,79.0,1,1,49
360,成都,线下,Female,35-39,Weekend,T恤,2,118.0,2,2,49
616,成都,线下,Male,20-24,Weekday,短裤,2,79.0,2,2,19
737,深圳,线下,Male,20-24,Weekend,配件,1,99.0,1,1,29
759,重庆,线下,Female,<20,Weekday,T恤,1,99.0,1,1,49
312,杭州,线下,Female,35-39,Weekend,T恤,3,396.0,3,4,49
182,广州,线上,Female,35-39,Weekday,牛仔裤,1,39.0,1,1,69
649,杭州,线下,Male,25-29,Weekend,T恤,3,297.0,3,3,49
496,上海,线下,Female,30-34,Weekend,配件,1,99.0,1,1,29
335,上海,线下,Female,30-34,Weekend,牛仔裤,9,1641.0,9,9,69
207,上海,线上,Female,50-54,Weekday,牛仔裤,2,157.0,2,3,69
575,杭州,线下,Female,20-24,Weekend,配件,10,901.0,10,13,29
649,杭州,线下,Female,30-34,Weekend,T恤,3,237.0,3,3,49
21,北京,线下,Male,25-29,Weekday,T恤,2,117.0,2,3,49
168,武汉,线下,Male,35-39,Weekday,T恤,2,138.0,2,2,49
148,深圳,线下,Female,30-34,Weekday,牛仔裤,1,19.0,1,1,69
802,西安,线下,Female,20-24,Weekend,T恤,2,198.0,2,2,49
658,深圳,线下,Female,20-24,Weekend,T恤,3,257.0,3,3,49
146,杭州,线下,Female,25-29,Weekday,袜子,4,78.0,4,4,9
737,深圳,线下,Male,20-24,Weekday,运动,1,27.32,1,1,49
430,成都,线下,Female,25-29,Weekend,T恤,1,59.0,1,1,49
312,杭州,线下,Male,25-29,Weekend,T恤,1,79.0,1,1,49
758,杭州,线下,Male,30-34,Weekend,T恤,1,118.0,1,2,49
207,上海,线上,Male,25-29,Weekday,配件,5,594.0,5,6,29
611,深圳,线下,Male,30-34,Weekend,配件,1,149.0,1,1,29
479,深圳,线下,Female,20-24,Weekend,T恤,1,79.0,1,1,49
323,武汉,线下,Female,50-54,Weekday,毛衣,1,199.0,1,1,99
479,深圳,线下,Female,25-29,Weekend,袜子,1,49.0,1,1,9
616,成都,线下,Male,20-24,Weekend,T恤,1,79.0,1,1,49
19,南京,线下,Male,>=60,Weekend,配件,5,514.0,5,6,29
796,深圳,线下,Female,30-34,Weekend,当季新品,2,136.0,2,2,59
738,深圳,线下,Male,>=60,Weekend,T恤,2,178.0,2,2,49
430,成都,线下,Female,20-24,Weekday,T恤,1,99.0,1,1,49
648,西安,线下,Female,35-39,Weekday,运动,1,149.0,1,1,49
496,上海,线下,Male,>=60,Weekday,T恤,1,99.0,1,1,49
70,深圳,线下,Male,30-34,Weekend,T恤,1,99.0,1,1,49
649,杭州,线下,Male,35-39,Weekday,T恤,1,79.0,1,1,49
325,上海,线下,Female,40-44,Weekday,当季新品,1,56.0,1,1,59
649,杭州,线下,Female,<20,Weekend,T恤,1,79.0,1,1,49
442,西安,线下,Male,>=60,Weekend,T恤,1,149.0,1,1,49
520,杭州,线下,Female,40-44,Weekday,当季新品,1,116.0,1,2,59
658,深圳,线下,Female,30-34,Weekend,短裤,1,39.0,1,1,19
21,北京,线下,Female,20-24,Weekday,短裤,1,33.0,1,1,19
420,广州,线上,Female,30-34,Weekend,牛仔裤,1,59.0,1,1,69
182,广州,线上,Female,40-44,Weekday,T恤,1,79.0,1,1,49
52,武汉,线上,Female,25-29,Weekday,T恤,1,79.0,1,1,49
248,杭州,线下,Male,25-29,Weekday,T恤,5,594.0,5,6,49
479,深圳,线下,Female,25-29,Weekend,当季新品,1,149.0,1,1,59
336,西安,线下,Female,25-29,Weekday,T恤,1,59.0,1,1,49
20,深圳,线下,Male,25-29,Weekend,T恤,1,79.0,1,1,49
28,武汉,线上,Female,25-29,Weekday,T恤,1,79.0,1,1,49
135,上海,线下,Female,25-29,Weekend,配件,7,673.0,7,7,29
420,广州,线上,Female,25-29,Weekend,T恤,2,198.0,2,2,49
605,成都,线下,Female,20-24,Weekday,袜子,1,79.0,1,1,9
759,重庆,线下,Female,25-29,Weekend,毛衣,1,199.0,1,1,99
148,深圳,线下,Female,55-59,Weekend,T恤,1,76.0,1,1,49
148,深圳,线下,Female,35-39,Weekend,短裤,1,40.0,1,1,19
737,深圳,线下,Unkown,Unkown,Weekday,T恤,1,79.0,1,1,49
375,广州,线上,Male,25-29,Weekend,T恤,1,149.0,1,1,49
70,深圳,线下,Female,55-59,Weekday,袜子,1,26.0,1,1,9
336,西安,线下,Male,20-24,Weekday,牛仔裤,1,149.0,1,1,69
605,成都,线下,Male,20-24,Weekday,牛仔裤,1,59.0,1,1,69
142,上海,线下,Female,30-34,Weekend,配件,2,198.0,2,2,29
146,杭州,线下,Male,30-34,Weekend,配件,3,297.0,3,3,29
335,上海,线下,Female,35-39,Weekend,T恤,1,79.0,1,1,49
182,广州,线上,Male,30-34,Weekday,袜子,3,125.0,3,5,9
32,武汉,线上,Female,35-39,Weekend,牛仔裤,2,398.0,2,2,69
146,杭州,线下,Female,25-29,Weekday,T恤,2,158.0,2,2,49
19,南京,线下,Male,<20,Weekday,短裤,1,39.0,1,1,19
437,重庆,线下,Female,30-34,Weekend,短裤,1,40.0,1,1,19
430,成都,线下,Male,20-24,Weekday,毛衣,1,249.0,1,1,99
70,深圳,线下,Male,30-34,Weekend,袜子,2,57.0,3,3,9
335,上海,线下,Female,20-24,Weekend,T恤,1,118.0,1,2,49
399,广州,线下,Female,35-39,Weekend,T恤,1,79.0,1,1,49
229,深圳,线下,Male,30-34,Weekend,当季新品,3,246.0,3,4,59
248,杭州,线下,Male,>=60,Weekday,运动,1,33.0,1,1,49
135,上海,线下,Male,30-34,Weekday,T恤,4,316.0,4,4,49
575,杭州,线下,Female,<20,Weekday,T恤,1,118.0,1,2,49
437,重庆,线下,Female,30-34,Weekend,袜子,1,49.0,1,1,9
46,武汉,线下,Female,40-44,Weekday,牛仔裤,1,39.0,1,1,69
325,上海,线下,Male,20-24,Weekday,T恤,1,59.0,1,1,49
46,武汉,线下,Female,20-24,Weekday,袜子,1,79.0,1,1,9
611,深圳,线下,Male,30-34,Weekday,T恤,1,99.0,1,1,49
19,南京,线下,Male,20-24,Weekend,T恤,1,79.0,1,1,49
759,重庆,线下,Female,30-34,Weekend,当季新品,1,79.0,1,1,59
360,成都,线下,Female,30-34,Weekend,T恤,1,99.0,1,1,49
21,北京,线下,Female,20-24,Weekday,袜子,3,237.0,3,3,9
19,南京,线下,Male,20-24,Weekend,配件,3,536.0,3,4,29
